SiteId,SiteName,MonitorDate,PSI,SO2SubIndex,COSubIndex,O3SubIndex,PM10SubIndex,NO2SubIndex
83,麥寮,2017-04-08,52,4,,,52,
80,關山,2017-04-08,25,2,,25,23,
78,馬公,2017-04-08,27,1,2,24,27,
77,金門,2017-04-08,24,3,2,24,23,
75,馬祖,2017-04-08,39,5,5,37,39,
72,埔里,2017-04-08,61,2,3,61,45,
71,復興,2017-04-08,37,14,8,,37,
70,永和,2017-04-08,55,4,18,,55,
69,竹山,2017-04-08,62,4,3,62,52,
68,中壢,2017-04-08,58,6,17,,58,
67,三重,2017-04-08,61,6,16,,61,
66,冬山,2017-04-08,50,4,6,37,50,
65,宜蘭,2017-04-08,44,2,4,42,44,
64,陽明,2017-04-08,68,5,4,68,32,
63,花蓮,2017-04-08,30,2,3,28,30,
62,臺東,2017-04-08,31,2,5,18,31,
61,恆春,2017-04-08,32,2,1,28,32,
60,潮州,2017-04-08,49,3,3,49,40,
59,屏東,2017-04-08,48,4,4,48,41,
58,小港,2017-04-08,47,14,5,47,41,
57,前鎮,2017-04-08,40,14,,,40,
56,前金,2017-04-08,48,11,4,45,48,
54,左營,2017-04-08,58,7,4,58,51,
53,楠梓,2017-04-08,63,7,5,63,56,
52,林園,2017-04-08,66,5,4,66,28,
51,大寮,2017-04-08,47,6,4,42,47,
50,鳳山,2017-04-08,52,10,9,,52,
49,仁武,2017-04-08,64,9,6,64,50,
48,橋頭,2017-04-08,45,4,4,45,40,
47,美濃,2017-04-08,78,3,3,78,36,
46,臺南,2017-04-08,48,5,5,48,39,
45,安南,2017-04-08,45,3,5,40,45,
44,善化,2017-04-08,42,7,3,42,40,
43,新營,2017-04-08,48,5,4,39,48,
42,嘉義,2017-04-08,48,8,3,48,42,
41,臺西,2017-04-08,47,4,,,47,
40,朴子,2017-04-08,58,5,4,43,58,
39,新港,2017-04-08,45,5,5,42,45,
38,崙背,2017-04-08,50,4,4,47,50,
37,斗六,2017-04-08,57,4,3,57,46,
36,南投,2017-04-08,51,1,4,49,51,
35,二林,2017-04-08,47,5,4,47,47,
34,線西,2017-04-08,52,4,,,52,
33,彰化,2017-04-08,53,3,5,53,48,
32,西屯,2017-04-08,63,28,6,63,50,
31,忠明,2017-04-08,59,3,7,59,41,
30,大里,2017-04-08,60,4,5,60,54,
29,沙鹿,2017-04-08,65,3,5,65,46,
28,豐原,2017-04-08,73,6,11,73,45,
27,三義,2017-04-08,70,4,3,70,48,
26,苗栗,2017-04-08,66,4,4,66,52,
25,頭份,2017-04-08,48,2,,,48,
24,新竹,2017-04-08,52,4,6,52,41,
23,竹東,2017-04-08,52,2,4,52,51,
22,湖口,2017-04-08,58,7,5,58,50,
21,龍潭,2017-04-08,65,4,5,65,56,
20,平鎮,2017-04-08,62,5,7,62,54,
19,觀音,2017-04-08,56,7,6,56,54,
18,大園,2017-04-08,58,8,7,58,54,
17,桃園,2017-04-08,63,8,10,63,56,
16,大同,2017-04-08,60,5,18,,60,
15,松山,2017-04-08,71,7,11,71,54,
14,古亭,2017-04-08,100,3,10,100,52,
13,萬華,2017-04-08,83,4,10,83,48,
12,中山,2017-04-08,77,4,9,77,54,
11,士林,2017-04-08,70,4,8,70,49,
10,淡水,2017-04-08,61,5,10,61,54,
9,林口,2017-04-08,72,8,9,72,68,
8,菜寮,2017-04-08,78,5,8,78,54,
7,新莊,2017-04-08,71,8,12,71,59,
6,板橋,2017-04-08,85,10,11,85,64,
5,土城,2017-04-08,90,,7,90,,
4,新店,2017-04-08,110,4,8,110,47,
3,萬里,2017-04-08,63,6,4,63,51,
2,汐止,2017-04-08,67,11,10,67,52,
1,基隆,2017-04-08,60,8,7,60,36,
83,麥寮,2017-04-07,62,5,,,62,
80,關山,2017-04-07,26,2,,26,25,
78,馬公,2017-04-07,36,5,3,26,36,
77,金門,2017-04-07,43,8,4,27,43,
75,馬祖,2017-04-07,50,5,5,36,50,
72,埔里,2017-04-07,55,4,6,46,55,
71,復興,2017-04-07,46,10,4,,46,
70,永和,2017-04-07,56,6,23,,56,
69,竹山,2017-04-07,64,3,5,62,64,
68,中壢,2017-04-07,65,8,21,,65,
67,三重,2017-04-07,71,8,27,,71,
66,冬山,2017-04-07,56,6,7,45,56,
65,宜蘭,2017-04-07,58,4,5,58,52,
64,陽明,2017-04-07,54,4,3,54,25,
63,花蓮,2017-04-07,33,4,3,33,33,
62,臺東,2017-04-07,28,3,5,21,28,
61,恆春,2017-04-07,36,4,1,36,36,
60,潮州,2017-04-07,60,3,3,60,52,
59,屏東,2017-04-07,64,4,5,64,50,
58,小港,2017-04-07,56,20,4,48,56,
57,前鎮,2017-04-07,48,8,,,48,
56,前金,2017-04-07,54,9,3,46,54,
54,左營,2017-04-07,50,8,5,46,50,
53,楠梓,2017-04-07,64,8,7,42,64,
52,林園,2017-04-07,41,1,2,31,41,
51,大寮,2017-04-07,58,3,3,57,58,
50,鳳山,2017-04-07,53,6,8,,53,
49,仁武,2017-04-07,56,8,5,49,56,
48,橋頭,2017-04-07,51,6,5,39,51,
47,美濃,2017-04-07,62,4,4,62,52,
46,臺南,2017-04-07,49,6,6,37,49,
45,安南,2017-04-07,52,6,6,38,52,
44,善化,2017-04-07,51,6,4,43,51,
43,新營,2017-04-07,56,4,4,51,56,
42,嘉義,2017-04-07,62,5,5,62,58,
41,臺西,2017-04-07,54,5,,,54,
40,朴子,2017-04-07,60,4,4,46,60,
39,新港,2017-04-07,59,5,5,58,59,
38,崙背,2017-04-07,63,4,4,51,63,
37,斗六,2017-04-07,59,5,5,58,59,
36,南投,2017-04-07,65,5,7,53,65,
35,二林,2017-04-07,58,5,4,41,58,
34,線西,2017-04-07,58,6,,,58,
33,彰化,2017-04-07,54,6,7,42,54,
32,西屯,2017-04-07,60,9,8,47,60,
31,忠明,2017-04-07,45,5,8,45,,
30,大里,2017-04-07,66,6,8,53,66,
29,沙鹿,2017-04-07,58,5,6,46,58,
28,豐原,2017-04-07,61,7,5,61,54,
27,三義,2017-04-07,55,4,4,45,55,
26,苗栗,2017-04-07,58,5,6,49,58,
25,頭份,2017-04-07,57,6,,,57,
24,新竹,2017-04-07,54,5,10,39,54,
23,竹東,2017-04-07,51,16,6,38,51,
22,湖口,2017-04-07,58,8,6,44,58,
21,龍潭,2017-04-07,58,5,9,47,58,
20,平鎮,2017-04-07,61,8,8,39,61,
19,觀音,2017-04-07,40,4,5,40,,
18,大園,2017-04-07,64,9,8,42,64,
17,桃園,2017-04-07,60,8,12,41,60,
16,大同,2017-04-07,66,9,29,,66,
15,松山,2017-04-07,58,8,15,54,58,
14,古亭,2017-04-07,53,7,14,50,53,
13,萬華,2017-04-07,58,7,17,37,58,
12,中山,2017-04-07,58,8,17,39,58,
11,士林,2017-04-07,53,6,12,37,53,
10,淡水,2017-04-07,57,7,10,37,57,
9,林口,2017-04-07,72,5,7,44,72,
8,菜寮,2017-04-07,60,8,15,37,60,
7,新莊,2017-04-07,59,9,14,51,59,
6,板橋,2017-04-07,61,11,14,49,61,
5,土城,2017-04-07,54,9,12,54,54,
4,新店,2017-04-07,55,8,9,55,45,
3,萬里,2017-04-07,74,5,7,74,57,
2,汐止,2017-04-07,66,7,16,66,59,
1,基隆,2017-04-07,71,8,10,71,44,
83,麥寮,2017-04-06,72,6,,,72,
80,關山,2017-04-06,32,1,,32,27,
78,馬公,2017-04-06,53,5,5,53,47,
77,金門,2017-04-06,58,8,4,30,58,
75,馬祖,2017-04-06,56,7,3,49,56,
72,埔里,2017-04-06,84,5,6,84,56,
71,復興,2017-04-06,54,8,8,,54,
70,永和,2017-04-06,52,7,25,,52,
69,竹山,2017-04-06,82,6,5,82,64,
68,中壢,2017-04-06,62,8,26,,62,
67,三重,2017-04-06,60,7,27,,60,
66,冬山,2017-04-06,41,2,5,33,41,
65,宜蘭,2017-04-06,41,3,5,37,41,
64,陽明,2017-04-06,57,5,3,57,25,
63,花蓮,2017-04-06,38,3,4,38,35,
62,臺東,2017-04-06,31,3,5,26,31,
61,恆春,2017-04-06,44,3,1,44,38,
60,潮州,2017-04-06,69,3,5,69,60,
59,屏東,2017-04-06,64,4,6,64,58,
58,小港,2017-04-06,58,12,6,42,58,
57,前鎮,2017-04-06,58,8,,,58,
56,前金,2017-04-06,57,12,7,57,56,
54,左營,2017-04-06,69,9,7,69,58,
