"gender" "math" "math interest" "math evaluation" "math input" "math hours" "science" "science interest" "science evaluation" "science input" "science hours" "parental education" "educational resources"
"girl" 729.39375 8.93041 9.34439 9.15641 "45min - 3hours" 682.75408 7.64598 9.15956 8.30491 "<= 45min" "high school" 9.60097
"girl" 776.19646 13.46507 9.34439 12.42205 "<= 45min" 663.36823 7.64598 6.5266 7.91938 "<= 45min" "high school" 8.91919
"girl" 718.17348 9.60333 10.35139 10.15325 "<= 45min" 667.11512 9.41832 11.09147 9.54897 "<= 45min" "elementary school" 6.33067
"girl" 607.18468 13.46507 10.35139 8.70884 "<= 45min" 575.09231 9.41832 7.60129 7.91938 "<= 45min" "junior high school" 10.25396
"girl" 658.17594 8.26761 8.20673 7.85736 "45min - 3hours" 649.75777 9.03893 8.23142 8.69954 "<= 45min" "university above" 10.92551
"girl" 478.5763 6.36452 7.2741 7.85736 "<= 45min" 491.3467 12.9437 9.15956 10.57281 "<= 45min" "college" 10.92551
"girl" 675.60044 10.80246 9.81093 9.15641 "<= 45min" 573.92296 8.329 8.84836 8.69954 "<= 45min" "university above" 11.64917
"girl" 601.04247 7.91186 7.88323 7.42878 "45min - 3hours" 531.51938 6.42609 8.54023 6.62923 "<= 45min" "junior high school" 9.60097
"girl" 628.61673 9.965 6.97345 10.15325 "<= 45min" 592.54034 12.9437 6.91883 12.10159 "<= 45min" "high school" 10.92551
"girl" 639.98171 10.35777 8.20673 10.15325 "<= 45min" 582.9994 9.03893 8.23142 9.11017 "45min - 3hours" "high school" 9.60097
"girl" 510.31744 9.60333 9.34439 9.6346 "<= 45min" 493.16581 7.64598 8.54023 7.91938 "<= 45min" "university above" 11.64917
"girl" 499.47292 11.33851 7.88323 10.15325 "<= 45min" 468.64484 6.42609 6.05617 5.23495 "45min - 3hours" "high school" 8.91919
"girl" 716.33155 13.46507 11.9425 14.34298 "<= 45min" 632.37597 9.41832 11.779 11.22017 "45min - 3hours" "high school" 10.92551
"boy" 599.81608 7.03246 5.96004 9.6346 "<= 45min" 558.70692 4.51274 6.91883 3.55609 "<= 45min" "high school" 9.60097
"boy" 642.59795 13.46507 13.70742 11.44903 "45min - 3hours" 505.34549 6.89527 5.40984 7.91938 "<= 45min" "high school" 8.91919
"boy" 661.83745 9.60333 8.20673 10.15325 "<= 45min" 597.05166 6.89527 7.60129 7.52384 "<= 45min" "university above" 12.51743
"boy" 603.03077 9.26151 8.92971 9.15641 "<= 45min" 620.78375 9.03893 9.47921 8.30491 "45min - 3hours" "junior high school" 9.60097
"boy" 752.29376 13.46507 8.92971 9.15641 "45min - 3hours" 666.13334 10.27988 9.47921 9.11017 "45min - 3hours" "junior high school" 8.91919
"boy" 590.1165 9.965 7.88323 8.27843 "45min - 3hours" 541.84614 7.98897 7.91985 7.10299 "45min - 3hours" "high school" 8.91919
"boy" 486.36178 9.965 8.92971 9.15641 "<= 45min" 478.62244 8.67804 7.60129 7.91938 "<= 45min" "junior high school" 8.19314
"boy" 493.17439 13.46507 8.55351 11.44903 "<= 45min" 396.06811 5.7899 6.05617 5.23495 "45min - 3hours" "high school" 8.19314
"boy" 555.68593 10.35777 8.13449 8.27843 "45min - 3hours" 532.02762 9.03893 8.54023 7.52384 "<= 45min" "high school" 8.19314
"boy" 577.66916 8.93041 8.92971 9.15641 "<= 45min" 575.26492 9.41832 10.17921 9.11017 "<= 45min" "high school" 9.60097
"boy" 485.95965 10.80246 7.57539 14.34298 "<= 45min" 558.42814 12.9437 9.81631 13.83345 "<= 45min" "high school" 11.64917
"boy" 442.7694 8.93041 7.57539 7.42878 "45min - 3hours" 448.70024 10.82037 9.15956 8.62591 "<= 45min" "high school" 8.91919
"boy" 478.76312 8.93041 6.97345 8.70884 "45min - 3hours" 475.87217 9.41832 8.84836 9.54897 "<= 45min" "high school" 9.60097
"boy" 403.29117 9.965 8.49785 10.15325 ">= 3hours" 400.62875 12.9437 8.84836 10.02885 "<= 45min" "high school" 8.91919
"boy" 652.94313 9.965 7.88323 10.74331 "<= 45min" 591.26689 7.64598 7.60129 7.52384 "<= 45min" "high school" 8.91919
"boy" 475.3748 5.03748 5.49149 3.26515 "<= 45min" 501.41802 9.41832 6.91883 8.30491 "<= 45min" "high school" 10.25396
