Year,Prof.,AssProf.,AsstProf.,Lecture,Prof.Outside,AssProf.Outside,AsstProf.Outside,LectureOutside
1950,178,71,,64,,,,
1951,186,74,,76,,,,
1952,187,77,,89,,,,
1953,204,81,,104,,,,
1954,224,93,,121,,,,
,,,,,,,,
1955,229,98,,132,,,,
1956,254,102,,165,,,,
1957,255,98,,165,,,,
1958,279,108,,169,,,,
1959,281,122,,173,,,,
,,,,,,,,
1960,283,127,,172,,,,
1961,295,163,,171,,,,
1962,304,170,,176,,,,
1963,322,179,,195,5,3,2,
1964,335,179,,209,7,4,3,
,,,,,,,,
1965,338,189,,204,7,5,2,
1966,354,195,,219,7,5,2,
1967,368,220,,226,6,5,1,
1968,369,220,,232,9,5,4,
1969,390,284,,238,10,5,5,
,,,,,,,,
1970,404,316,,246,16,7,9,
1971,406,328,,243,18,9,9,
1972,431,333,,258,28,15,13,
1973,398,343,,283,28,17,11,
1974,440,363,,291,32,22,10,
,,,,,,,,
1975,454,344,,290,36,29,7,
1976,476,340,,282,33,30,3,
1977,484,344,,278,32,29,3,
1978,502,341,,280,34,29,5,
1979,488,340,,282,36,31,5,
,,,,,,,,
1980,531,340,,293,45,38,7,
1981,555,337,,277,47,37,10,
1982,587,374,,297,56,41,15,
1983,581,373,,267,60,47,13,
1984,615,416,,245,57,45,12,
,,,,,,,,
1985,605,449,,264,57,44,13,
1986,656,503,,259,55,43,12,
1987,680,544,,254,60,45,15,
1988,696,576,,254,65,45,20,
1989,721,584,,242,56,43,13,
,,,,,,,,
1990,747,618,,227,53,41,12,
1991,802,655,,223,55,43,13,
1992,856,661,,210,56,43,13,
1993,861,677,,209,55,42,13,
1994,901,678,,214,56,44,12,
,,,,,,,,
1995,929,646,,220,58,47,11,
1996,961,669,,193,59,48,11,
1997,999,593,54,167,57,50,7,
1998,995,575,98,154,59,52,7,
1999,991,545,126,132,53,48,5,
,,,,,,,,
2000,1011,497,156,114,58,53,5,
2001,1011,478,185,109,61,54,5,2
2002,998,462,218,93,65,60,3,2
2003,997,452,238,85,70,58,9,3
2004,997,443,283,79,79,63,13,3
,,,,,,,,
2005,1002,455,294,67,75,60,11,4
2006,1020,450,330,69,78,60,14,4
2007,1027,459,352,63,87,64,17,6
2008,1024,470,365,65,91,68,17,6
2009,1051,472,382,62,96,67,21,8
,,,,,,,,
2010,1075,466,377,54,113,74,26,13
2011,1089,481,364,49,123,80,26,17
2012,1108,484,356,45,121,80,27,14
2013,1127,473,394,50,120,78,32,10
